"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"14","V3 - V2","hemma","M_Cent",0.932232747964494,0.237929862410112,124061.590722231,3.91809896631484,0.0001,0.0001,"(V3 - V2)",0.21281125974142,0.0543165947094954,124061.590722231,0.106351651711173,0.319270867771667
"15","V3 - V2","idag","M_Cent",1.49334015349216,0.239206753280905,124061.590722231,6.24288458837324,0,0,"(V3 - V2)",0.340901561311829,0.0546106736041314,124061.590722231,0.233865563616133,0.447937559007524
"16","V3 - V2","kanske","R_Cent",0.581904521520447,0.111839842279107,124061.590722231,5.2030162924251,0,0,"(V3 - V2)",0.132837893266877,0.0255323216026394,124061.590722231,0.0827949742573752,0.182880812276378
"17","V3 - V2","hemma","R_Cent",0.990664997229074,0.112236061920535,124061.590722231,8.82661936170283,0,0,"(V3 - V2)",0.226150246815915,0.0256253808141064,124061.590722231,0.17592493332404,0.276375560307791
"18","V3 - V2","idag","R_Cent",1.08354290493218,0.112818993335485,124061.590722231,9.60425964544902,0,0,"(V3 - V2)",0.247352531957263,0.0257592119922812,124061.590722231,0.196864911617049,0.297840152297477
"19","V3 - V2","kanske","L_Post",-0.375774422579881,0.111301566024631,124061.590722231,-3.3761827079479,0.0007,0.001,"(V3 - V2)",-0.0857822560111082,0.0254086401733471,124061.590722231,-0.135582761508616,-0.0359817505136008
"20","V3 - V2","hemma","L_Post",0.170365738668559,0.111620969285407,124061.590722231,1.52628793459897,0.1269,0.1371,"(V3 - V2)",0.0388913042821088,0.0254810934417555,124061.590722231,-0.0110512083974859,0.0888338169617035
"21","V3 - V2","idag","L_Post",0.219878960653264,0.113035562942362,124061.590722231,1.94521931797149,0.0518,0.0582,"(V3 - V2)",0.0501942446341066,0.0258040952126821,124061.590722231,-0.000381346059856166,0.100769835328069
"22","V3 - V2","kanske","M_Post",0.118812919949152,0.233846852717611,124061.590722231,0.508080047126519,0.6114,0.6114,"(V3 - V2)",0.0271227622320113,0.0533828800966136,124061.590722231,-0.0775067809307458,0.131752305394768
"23","V3 - V2","hemma","M_Post",0.855331190617297,0.234262522188036,124061.590722231,3.65116529365609,0.0003,0.0004,"(V3 - V2)",0.195256075876803,0.0534791678884796,124061.590722231,0.0904378102686312,0.300074341484974
"24","V3 - V2","idag","M_Post",1.30954145591494,0.235712156943765,124061.590722231,5.55568059320489,0,0,"(V3 - V2)",0.298943764339296,0.0538119880910425,124061.590722231,0.193473176756617,0.404414351921974
"25","V3 - V2","kanske","R_Post",0.461125881496668,0.112157914601013,124061.590722231,4.11139849681639,0,0.0001,"(V3 - V2)",0.105266393993291,0.0256044148423416,124061.590722231,0.0550821734518842,0.155450614534697
"26","V3 - V2","hemma","R_Post",0.966772776694354,0.112623584870941,124061.590722231,8.58410587624441,0,0,"(V3 - V2)",0.220696100776618,0.0257136417436985,124061.590722231,0.170297797353783,0.271094404199454
"27","V3 - V2","idag","R_Post",0.948479911780623,0.112755242778618,124061.590722231,8.4118475416957,0,0,"(V3 - V2)",0.216520182654164,0.0257435505094039,124061.590722231,0.166063258555811,0.266977106752516
